,LanguageCode,SKU,Text,Title
1121,en,DU1-m05-0002-03,see above,the shoes are too narrow around the toes
1813,en,BO2-m02-0008-03,Fantastic! Shipping was fast. Can't wait to shop here again! These shoes are around one size larger than normal.,great shoes
1826,en,BO2-m02-0008-03,Really stylish trainers! I found them to be a bit tight at the beginning. But after a few days they fitted perfectly.,stylish sneakers
1860,en,BO2-m02-0008-03,"I am very pleased with these shoes, they fit very well and provide great arch support - at the moment this is my favourite pair of shoes","brilliant shoes, simply brilliant shoes"
1862,en,BO2-m02-0008-03,"My first order with Zalando and so far everything has gone well. I'll be back. The shoes, met my expectations despite a little tightness at first - which is normal, I suppose . ",First time
1870,en,BO2-m02-0008-03,The shoes really rub on your ankle… I hope it'll get better,Rubs
1871,en,BO2-m02-0008-03,"I've had these shoes for 10 months and am 100% happy with them. I wore them every 2nd day, sometimes in the slush and, thanks to the shoe cream I used every couple of weeks, they are still in great condition! ",Long term review: GREAT!
1872,en,BO2-m02-0008-03,These shoes are AMAZING! I'm very happy…,super
1874,en,BO2-m02-0008-03,"I am completely satisfied with the shoes, they look great with jeans, but also with ""nice"" trousers; they look elegant but sporty. I needed a couple of days to get used to them, as it has been a while since I've worn heels… but as I said, they are just great shoes ... and they fit perfectly in my size",A lucky find
1875,en,BO2-m02-0008-03,"1. the shoes look GREAT. 2. at the moment they aren't too comfortable, really hard on your ankle…but I hope they loosen off",Fantastic shoes with small
1876,en,BO2-m02-0008-03,"Very comfortable shoes that look great. As the shaft is quite high it is more difficult to put them on than a normal sneaker. The leather feels really soft, but it takes a while to wear them and they're a bit tight around the ankle. The shoes fit as expected, but they come up a bit big, but fit me perfectly as I have wide feet.",very comfy shoes
1877,en,BO2-m02-0008-03,"The shoes look much lighter online. The leather is actually much darker, what a shame!",darker in reality
1878,en,BO2-m02-0008-03,Very stylish trainers which are well made and look great. But a bit unpractical if you want to take them on and off a lot!!!,Boxfresh Eavis
1879,en,BO2-m02-0008-03,I had to buy a size smaller. Now they fit perfectly.,Cool shoes
1880,en,BO2-m02-0008-03,I read a review before that the shoes come up larger. I can't confirm this as I ordered them in my size.,Fit perfectly
1881,en,BO2-m02-0008-03,"I am happy, it was really easy and quick, so I'll definitely order again from here.",Satisfied customer
1882,en,BO2-m02-0008-03,"Awesome shoes, look great and fit very well! Very fast delivery! I'll come again!",The best
1883,en,BO2-m02-0008-03,They were one size too big,Size
1884,en,BO2-m02-0008-03,the shoes are fine,Boxfresh EAVIS
1885,en,BO2-m02-0008-03,the shoes are really hard to put on because of the rounded back.,nice looking but impractical
1889,en,BO2-m02-0008-03,"They look good. Very individual, smart and cool… the sole is not too thick. But I'm going to get insoles for the inside. In terms of comfort, I think that depends on the shape of your foot…they hurt my heels a bit, but they're fine if you wear thicker socks. Otherwise they are hard to get on and off. ",Overly expensive
1890,en,BO2-m02-0008-03,the top section is too tight and rubs,Tight at the neck
1891,en,BO2-m02-0008-03,great shoes - suitable for any occasion,very happy!
1892,en,BO2-m02-0008-03,"fast delivery, great choice!",Review
1893,en,BO2-m02-0008-03,"Great quality and the best design by Boxfresh! After being really disappointed by the quality of Pointers, I have decided that Boxfresh are the shoe brand for me. Only drawback: they are really hot and sweaty… so really better for the winter (but not with the white sole!)","Yes, they fit!"
1894,en,BO2-m02-0008-03,"I must say, everything went well - no problems - smart, comfortable, modern - I'm really happy!",Fabulous shoes…
1895,en,BO2-m02-0008-03,"Good shoes, but a bit expensive. The tongue is a bit too short for my liking.",good but not cheap
1896,en,BO2-m02-0008-03,They are a bit uncomfortable,Heels
1897,en,BO2-m02-0008-03,"Very fast delivery, good quality, informative, good service and nice customer service staff ;)",flawless
1898,en,BO2-m02-0008-03,"I am very satisfied with these shoes. They fit as expected, look great and are very robust.",Great shoes
1899,en,BO2-m02-0008-03,"Great shoes, good delivery service. Good options for payment. Also great range.",completely satisfied
1900,en,BO2-m02-0008-03,"good colour combination, I would've liked better soles though!",Very quick delivery
1901,en,BO2-m02-0008-03,…really uncomfortable!,Look great…
1902,en,BO2-m02-0008-03,"very good shoes, but just a bit expensive",leather trainers
1903,en,BO2-m02-0008-03,"fast delivery, everything was great, fab product",really nice shoes
1904,en,BO2-m02-0008-03,"lovely shoes, unfortunately the soles are too soft and wear out very quickly",Quite expensive
1905,en,BO2-m02-0008-03,Boxfresh…always great,good shoes
1906,en,BO2-m02-0008-03,I am very happy with the shoes and with Zalando's service,To be recommended
1919,en,BO2-m02-0008-03,"A quality Boxfresh casual shoe / trainer. Slightly larger fit. Thin & very uncomfortable sole. 

The second day I wore these, I did a fair bit of walking and paid for it with some almighty blisters! I now have some inner soles in them and all is well again. So I would definately recommend buying some inner soles to fit these when purchasing.",Boxfresh 'Eavis' High-top trainers - brown
2581,en,SK1-f25-0026-10,Really pleased with the look and feel of this boot well worth the money! The only thing I would say against them is they are a large 7 so slightly looser than i thought but plenty of room to wear thick socks with them.,a lovely comfy boot
2591,en,SK1-f25-0026-10,"These are lovely boots, very comfy (especially because you can adjust the width and leg fitting using the lace up front) and warm but not too warm.  I can't really comment on the quality because I've only had them a few days, but they seem well made.  However, they are huge!  I'm usually a 7.5 and have worn size 7 Skechers before, but I ended up with a size 6 in these boots as the 7s were so long I would have been tripping over them.",lovely but big
2755,en,SK1-fza-0268-99,"Great fit, fit like a glove - look great on as well",Great sandals
2906,en,AI2-m40-0010-03,In my opinion Iso-Parcour make the best winter boots money can buy. The neoprene lining insulates the feet against extreme cold (-20!!!) You only need to wear thin stockings or socks - that way you feel as if you are walking barefoot through the snow! Long walks in snow are no problem with these boots. Two small criticisms: the price is really steep and you can really only wear these boots in minus temps. At +10 these boots are far too heavy and hot.,The best boots for winter I've found
3548,en,LO2-m01-0008-01,I ordered the shoes in my size and they seem a lot bigger!!!!,Size
3549,en,LO2-m01-0008-01,A very high quality shoe,Review
3550,en,LO2-m01-0008-01,"The shoes look just like the pictures on the online shop, which I was very happy about!! My size fit perfectly and after a few days of wearing them in they were very comfortable. The only thing that is a shame is that the shoes are ""Made in India"", despite being marketed as a traditional English brand. For this price, I would expect better.",Exactly what I ex
5838,en,DI1-fzw-0108-99,I saw a lot of positive reviews about these so I got myself a pair and I'm impressed. Really trendy and comfy,Splendid shoes
6016,en,GU1-bzw-0036-99,Love this handbag its slighter bigger than i thought but will do wonderfully!  Wish Guess did a smaller version with single handle and more options in this mixed colours!!,Alina Handbag
6327,en,TO211L000-K11,Excellent!,Very good quality
6671,en,TO1-xzw-0216-99,"fantastic, as usual from TH",…
7173,en,PU154J004-802,"i'm really happy with this product, perfect!",perfect!
7541,en,DO2-fzw-0034-99,Fab boots for winter. Warm fur lined right to the toes and very comfy. Was worried about fake websites but these are genuine and were delivered promptly.,Dr Martin
8544,en,VE121B020-503,Very fast delivery and really cool pants,Great!
9033,en,RI111D012-505,this sandles are fantasic like walking on air they are so light you don't know you have them on.  I will buy lots more pairs for the future.,comfort
9379,en,MI323I002-002,fits well,honey
9549,en,SK511A002-917,"I am a UK size 6 (EU 39) and these shoes fit me perfectly. extra comfort is added by having a proper insole. I have been wearing these shoes for shopping, sightseeing and general summer activites, which all involve a lot of walking and I havnt had any problems at all. very comfortable shoes with a cool look!!",great summer shoes!!
9793,en,PU112Z001-702,good looking trainers,great shoes
10223,en,BU112E004-704,"nice shoes, good fit. need wearing in a bit at first though",bugatti cash
10237,en,VE121F017-503,"Lovely cotton, tight fit, nice length, great quality and colour.",Great Long sleeve Top
10434,en,AN611D00N-501,So very comfortable and looks beautiful,Grey Thongs
10913,en,FL211Z00D-702,"So excited about wearing this comfortable, great looking, all round sandal this year. The colour purple is muted and therefore perfect with a number of outfits. The leather and laces are soft and comfortable. A great shoe/sandal.",Fly YLVA purple sandal
11134,en,RU321B008-704,Really unusual shape - tight enough but more comfortable than skinnies - waste a little big but good loops for belt - a good look altogther,haiti pants
11306,en,SE622B006-953,looks good but very small and tight,looks good but very small and tight
11369,en,B2042A005-702,"I would recommend ordering them one size larger than usual, but otherwise ok",Cool slippers
11475,en,JA222B00N-704,They look lighter in the pictures than they really are,Colour
11931,en,TA111Z00L-802,nice sandals comfortable fit. Would recommend to a friend!,nice sandals!
12356,en,DK211B006-802,"these shoes are stylist and look good with dresses or trousers , lovely",black swan
12727,en,AD113C00G-502,Great product packed very well fast delivery,brilliant
12909,en,NI554A001-302,"bag big enough to hold football in base and other items on top of it, along with outer pockets, can be made smaller with straps or lets you add extra by letting straps out, carries more than it looks like it will, fits well on back or over shoulder,",great bag
12974,en,PE121B02D-952,too small,too small
12979,en,AD554A002-002,"Item is as expacted,good size,and quality",nice original retro bag
13384,en,SE911D00N-202,"This product is really beautiful,it suit my dress.",My yellow shoe.
13405,en,TO211C006-102,comfy shoe looks good and the heel is just right.,satisfied customer
13600,en,RI111C009-802,"Managed to get these in the sale and I'm over the moon with them. I am normally a  size 7 so ordered a 7.5 glad I did as I got size 41 which fit perfectly. The quality is good and there really comfortable..
Highly recommended",A lovely boot
13786,en,VE121F04N-802,for XL far far too small,wish I was this small
13817,en,BU112X00M-702,"This is one of my alltime best buys todate,the stars speak for what I think about this product.I just love it.",Quality Trainers
13827,en,EL822X004-703,There is no minuses for this product. This jacket is light and worm.  Looks and fits very well. You cannot expect more. Element was always good.,This is great jacket
14033,en,CA512A007-702,too big,too big
14323,en,PA311X005-708,everything i wanted in a boot i have been trying to buy these boots for ages lovely quality many thanks,panama jack Caryn boots
14367,en,M5611X004-205,Because shoe is new it is a little tight at the toes and insole area,Right Size
14616,en,MU311C01J-102,"Boots are a bit cheap looking, they are slightly too narrow across the toes for me but I have wide feet
The laces are much longer than needed
Nice heel height & good enough to keep them",Grey boot
15056,en,ME421G007-503,"Wow, this coat does turn heads!  Yes, it is pricey but it worth every penny as they say.  It is very warm, soft to touch and looks fabulous with a lurex hat etc.  It has that S.. and The City feel especially with a nice pair of high heel boots.",Luxurious Coat
15132,en,MJ111C00Y-708,"they are so lovely and fashionable! And so so comfortable! But a little to expensive, but their look compensate me that:)",Fab
15721,en,HA541A00E-102,"I bought these as I have really wide feet and already own a pair of Hanwag hiking boots which have given me years of comfortable service. I found the shoes slightly tighter than my boots, which are the same size and took the precaution of wearing them in for a couple of days round the house before going for a walk in them and had no problems. Ideally, the laces could be a couple of centimetres longer but  they are very well made, comfortable, with an excellent grippy sole and I'm sure will last me years.",Performance XCR shoes
15802,en,AI216C008-503,"Finally a good, plain pair of wellies for cool kids - that aren't cutsey. These are perfect for school trips/excursions to the country for the fashion-conscious kids of today. These wellies are fab, but the rubber stinks at first - just but them outside on the porch for a few days to air them out.",Cool wellies with warm lining
15873,en,PE122A00R-905,Smart jeans,Great
